304, 0, 1706, 5,0,0:0:0:0:
320, 0, 1706, 5,0,0:0:0:0:
384, 0, 1706, 5,0,0:0:0:0:
400, 0, 1706, 5,0,0:0:0:0:
0, 16, 1706, 5,0,0:0:0:0:
16, 16, 1706, 5,0,0:0:0:0:
32, 16, 1706, 5,0,0:0:0:0:
48, 16, 1706, 5,0,0:0:0:0:
64, 16, 1706, 5,0,0:0:0:0:
80, 16, 1706, 5,0,0:0:0:0:
96, 16, 1706, 5,0,0:0:0:0:
112, 16, 1706, 5,0,0:0:0:0:
128, 16, 1706, 5,0,0:0:0:0:
144, 16, 1706, 5,0,0:0:0:0:
160, 16, 1706, 5,0,0:0:0:0:
176, 16, 1706, 5,0,0:0:0:0:
192, 16, 1706, 5,0,0:0:0:0:
240, 16, 1706, 5,0,0:0:0:0:
256, 16, 1706, 5,0,0:0:0:0:
272, 16, 1706, 5,0,0:0:0:0:
336, 16, 1706, 5,0,0:0:0:0:
352, 16, 1706, 5,0,0:0:0:0:
416, 16, 1706, 5,0,0:0:0:0:
432, 16, 1706, 5,0,0:0:0:0:
448, 16, 1706, 5,0,0:0:0:0:
464, 16, 1706, 5,0,0:0:0:0:
512, 16, 1706, 5,0,0:0:0:0:
224, 32, 1706, 5,0,0:0:0:0:
240, 32, 1706, 5,0,0:0:0:0:
496, 32, 1706, 5,0,0:0:0:0:
512, 32, 1706, 5,0,0:0:0:0:
0, 48, 1706, 5,0,0:0:0:0:
16, 48, 1706, 5,0,0:0:0:0:
32, 48, 1706, 5,0,0:0:0:0:
48, 48, 1706, 5,0,0:0:0:0:
64, 48, 1706, 5,0,0:0:0:0:
80, 48, 1706, 5,0,0:0:0:0:
96, 48, 1706, 5,0,0:0:0:0:
112, 48, 1706, 5,0,0:0:0:0:
128, 48, 1706, 5,0,0:0:0:0:
144, 48, 1706, 5,0,0:0:0:0:
160, 48, 1706, 5,0,0:0:0:0:
176, 48, 1706, 5,0,0:0:0:0:
192, 48, 1706, 5,0,0:0:0:0:
240, 48, 1706, 5,0,0:0:0:0:
256, 48, 1706, 5,0,0:0:0:0:
272, 48, 1706, 5,0,0:0:0:0:
336, 48, 1706, 5,0,0:0:0:0:
352, 48, 1706, 5,0,0:0:0:0:
448, 48, 1706, 5,0,0:0:0:0:
464, 48, 1706, 5,0,0:0:0:0:
304, 64, 1706, 5,0,0:0:0:0:
320, 64, 1706, 5,0,0:0:0:0:
384, 64, 1706, 5,0,0:0:0:0:
416, 64, 1706, 5,0,0:0:0:0:
432, 64, 1706, 5,0,0:0:0:0:
0, 80, 1706, 5,0,0:0:0:0:
16, 80, 1706, 5,0,0:0:0:0:
32, 80, 1706, 5,0,0:0:0:0:
48, 80, 1706, 5,0,0:0:0:0:
64, 80, 1706, 5,0,0:0:0:0:
80, 80, 1706, 5,0,0:0:0:0:
96, 80, 1706, 5,0,0:0:0:0:
112, 80, 1706, 5,0,0:0:0:0:
128, 80, 1706, 5,0,0:0:0:0:
144, 80, 1706, 5,0,0:0:0:0:
160, 80, 1706, 5,0,0:0:0:0:
176, 80, 1706, 5,0,0:0:0:0:
192, 80, 1706, 5,0,0:0:0:0:
240, 80, 1706, 5,0,0:0:0:0:
256, 80, 1706, 5,0,0:0:0:0:
272, 80, 1706, 5,0,0:0:0:0:
320, 80, 1706, 5,0,0:0:0:0:
336, 80, 1706, 5,0,0:0:0:0:
352, 80, 1706, 5,0,0:0:0:0:
416, 80, 1706, 5,0,0:0:0:0:
432, 80, 1706, 5,0,0:0:0:0:
224, 96, 1706, 5,0,0:0:0:0:
240, 96, 1706, 5,0,0:0:0:0:
448, 96, 1706, 5,0,0:0:0:0:
464, 96, 1706, 5,0,0:0:0:0:
496, 96, 1706, 5,0,0:0:0:0:
512, 96, 1706, 5,0,0:0:0:0:
0, 112, 1706, 5,0,0:0:0:0:
16, 112, 1706, 5,0,0:0:0:0:
32, 112, 1706, 5,0,0:0:0:0:
48, 112, 1706, 5,0,0:0:0:0:
64, 112, 1706, 5,0,0:0:0:0:
80, 112, 1706, 5,0,0:0:0:0:
96, 112, 1706, 5,0,0:0:0:0:
112, 112, 1706, 5,0,0:0:0:0:
128, 112, 1706, 5,0,0:0:0:0:
144, 112, 1706, 5,0,0:0:0:0:
160, 112, 1706, 5,0,0:0:0:0:
176, 112, 1706, 5,0,0:0:0:0:
192, 112, 1706, 5,0,0:0:0:0:
256, 112, 1706, 5,0,0:0:0:0:
272, 112, 1706, 5,0,0:0:0:0:
288, 112, 1706, 5,0,0:0:0:0:
304, 112, 1706, 5,0,0:0:0:0:
320, 112, 1706, 5,0,0:0:0:0:
496, 112, 1706, 5,0,0:0:0:0:
512, 112, 1706, 5,0,0:0:0:0:
272, 128, 1706, 5,0,0:0:0:0:
0, 144, 1706, 5,0,0:0:0:0:
16, 144, 1706, 5,0,0:0:0:0:
32, 144, 1706, 5,0,0:0:0:0:
48, 144, 1706, 5,0,0:0:0:0:
64, 144, 1706, 5,0,0:0:0:0:
80, 144, 1706, 5,0,0:0:0:0:
96, 144, 1706, 5,0,0:0:0:0:
112, 144, 1706, 5,0,0:0:0:0:
128, 144, 1706, 5,0,0:0:0:0:
